      22  Gamma                   0.00000   0.00000  2  0  0  0  0  1  0  1
      22  1  1.000            22       0       0       0       0
     211  Pion(+)                0.13957   0.00000  1  0  0  0  1  3  1  1
     211  1  1.000           211       0       0       0       0
     111  Pion(0)                0.13498   0.00000  1  0  0  0  1  3  0  1
     111  1  1.000           111       0       0       0       0
    -211  Pion(-)                0.13957   0.00000  1  0  0  0  1  3 -1  1
    -211  1  1.000          -211       0       0       0       0
     321  Kaon(+)                0.49368   0.00000  1  0  1  0  0  2  1  1
     321  1  1.000           321       0       0       0       0
    -321  Kaon(-)                0.49368   0.00000  1  0 -1  0  0  2 -1  1
    -321  1  1.000          -321       0       0       0       0
     311  Kaon(0)                0.49765   0.00000  1  0  1  0  0  2  0  1
     311  1  1.000           311       0       0       0       0
    -311  Anti-Kaon(0)           0.49765   0.00000  1  0 -1  0  0  2  0  1
    -311  1  1.000          -311       0       0       0       0
     221  eta                     0.54775   0.00000  1  0  0  0  0  1  0  4
     221  2  0.397            22      22       0       0       0
     221  3  0.328           111     111      111      0       0
     221  3  0.228           211     111     -211      0       0
     221  3  0.047           211    -211       22      0       0
     213  rho(+)                0.77580   0.15030  3  0  0  0  2  3  1  1
     213  2  1.000           211     111       0       0       0
     113  rho(0)                0.77580   0.15030  3  0  0  0  2  3  0  1
     113  2  1.000           211    -211       0       0       0
    -213  rho(-)                0.77580   0.15030  3  0  0  0  2  3 -1  1
    -213  2  1.000          -211     111       0       0       0
     223  omega                   0.78259   0.00849  3  0  0  0  3  1  0  3
     223  3  0.893           211     111    -211       0       0
     223  2  0.090           111      22       0       0       0
     223  2  0.017           211    -211       0       0       0
     323  K*892(+)              0.89166   0.05080  3  0  1  0  0  2  1  2
     323  2  0.667           311     211       0       0       0
     323  2  0.333           321     111       0       0       0
    -323  K*892(-)              0.89166   0.05080  3  0 -1  0  0  2 -1  2
    -323  2  0.667          -311    -211       0       0       0
    -323  2  0.333          -321     111       0       0       0
     313  K*892(0)              0.89610   0.05070  3  0  1  0  0  2  0  2
     313  2  0.667           321    -211       0       0       0
     313  2  0.333           311     111       0       0       0
    -313  Anti-K*892(0)         0.89610   0.05070  3  0 -1  0  0  2  0  2
    -313  2  0.667          -321     211       0       0       0
    -313  2  0.333          -311     111       0       0       0
    2212  p                       0.93827   0.00000  2  1  0  0  0  2  1  1
    2212  1  1.000          2212       0       0       0       0
    2112  n                       0.93957   0.00000  2  1  0  0  0  2  0  1
    2112  1  1.000          2112       0       0       0       0
     331  eta-prime(958)         0.95778   0.00020  1  0  0  0  0  1  0  5
     331  3  0.445           211    -211     221       0       0
     331  2  0.295           113      22       0       0       0
     331  3  0.209           111     111     221       0       0
     331  2  0.030           223      22       0       0       0
     331  2  0.021            22      22       0       0       0
 910221  f0(980)                0.97410   0.04700  1  0  0  0  0  1  0  4
 910221  2  0.520           211    -211       0       0       0
 910221  2  0.260           111     111       0       0       0
 910221 -2  0.110           321    -321       0       0       0
 910221 -2  0.110           311    -311       0       0       0
