        22 Gamma              100000000.0     Stable  
1      211 Pion (+)           100000000.0     Stable  
2      111 Pion (0)           100000000.0     Stable  
3     -211 Pion (-)           100000000.0     Stable  
4      321 Kaon (+)           100000000.0     Stable  
5     -321 Kaon (-)           100000000.0     Stable  
6      311 Kaon (0)           100000000.0     Stable  
7     -311 Anti Kaon (0)      100000000.0     Stable  
8      221 eta                100000000.0     Stable  
      213 rho  (+)              1.3127080202
      113 rho  (0)              1.3127080202
     -213 rho  (-)              1.3127080202
9       223 omega              23.23910522     ********
      323 K* 892 (+)            3.8838584423
     -323 K* 892 (-)            3.8838584423
      313 K* 892 (0)            3.8915185928
     -313 Anti K* 892 (0)       3.8915185928
10     2212 p                  100000000.0     Stable  
11    -2212 Anti p             100000000.0     Stable  
12     2112 n                  100000000.0     Stable  
13    -2112 Anti n             100000000.0     Stable  
14      331 eta prime (958)    986.5000610     ********
    19221 f0 (980)              4.1978726387
     9211 a0 (980) (+)          3.4614036083
     9111 a0 (980) (0)          3.4614036083
    -9211 a0 (980) (-)          3.4614036083
15      333 phi (1020)         46.31455612     ********
16     3122 Lambda             100000000.0     Stable  
17    -3122 Anti Lambda        100000000.0     Stable  
    10223 h1(1170)              0.5480555296
18     3222 Sigma (+)          100000000.0     Stable  
19    -3222 Anti Sigma (+)     100000000.0     Stable  
20     3212 Sigma (0)          100000000.0     Stable  
21    -3212 Anti Sigma (0)     100000000.0     Stable  
22     3112 Sigma (-)          100000000.0     Stable  
23    -3112 Anti Sigma (-)     100000000.0     Stable  
    10213 b1 (1235) (+)         1.3894366026
    10113 b1 (1235) (0)         1.3894366026
   -10213 b1 (1235) (-)         1.3894366026
    20213 a1 (1260) (+)         0.4932500124
    20113 a1 (1260) (0)         0.4932500124
   -20213 a1 (1260) (-)         0.4932500124
     2224 Delta 1232 (++)       1.6441667080
    -2224 Anti Delta 1232 (++   1.6441667080
     2214 Delta 1232 (+)        1.6441667080
    -2214 Anti Delta 1232 (+)   1.6441667080
     2114 Delta 1232 (0)        1.6441667080
    -2114 Anti Delta 1232 (0)   1.6441667080
     1114 Delta 1232 (-)        1.6441667080
    -1114 Anti Delta 1232 (-)   1.6441667080
    10323 K1 1270 (+)           2.1922221184
   -10323 K1 1270 (-)           2.1922221184
    10313 K1 1270 (0)           2.1922221184
   -10313 Anti K1 1270 (0)      2.1922221184
      225 f2 (1270)             1.0659103394
    20223 f1 (1285)             8.1867218018
     8221 eta (1295)            3.5872728825
