idx,norm,fluct_k,nucleon_width,tau_R,alpha,eta_over_s_at_kink
0,13.297997418679296,0.7720777866330462,1.234304545024643,1.221286388966255,-0.1799308589613065,0.0972359093448148
1,14.88202840553597,1.31343153672712,1.1144888429983988,1.0594999288879328,-0.2870238721207715,0.09572910587135704
2,11.77174900153652,1.4820938529528227,0.8324639865395147,1.4734864439438096,-0.297373833603924,0.06564918848592784
3,12.033779976889488,0.9890060456986545,1.2735560642187478,0.7217360860682089,-0.293639224586077,0.0558030691470952
4,12.374491711314768,2.24936320604221,0.8993404428947254,1.0046487251254737,-0.277618840127252,0.2099365350699052
5,13.979706829134376,2.567407250084448,1.012545902415412,1.4349222972118298,-0.16892968041822298,0.11386648844107983
6,14.754517554063352,2.078537966971519,0.7124787879337091,1.0405813234760426,-0.323438726606546,0.12477116095274679
7,12.3043608048372,1.11960929344548,0.7209568688336296,0.2254900272423401,-0.30601018751855,0.17424351266846055
8,15.042624233737584,1.5591118281385854,0.6785983438701364,1.5683312291218905,-0.250062000442995,0.20110275762882088
9,16.32018718205392,2.6058543984903944,1.0544392125536683,1.226903273213654,-0.2827791093324775,0.034621342947334
10,16.70164665078744,1.2924624089703434,1.0963296960929871,0.8632898166053937,-0.13389711344148952,0.17669650792125616
11,16.58087936103344,1.9374498885597575,0.7373967081538868,0.4838772221668622,-0.386483361632563,0.12566232301648694
12,12.863916676919903,1.502002424483886,1.0017136786612677,1.4839501265599395,-0.3531828668597155,0.10388457898348574
13,14.050566618870944,2.5045259692487303,0.7990700622915754,1.7179193467404688,-0.384442747257417,0.10900697522871208
14,13.489229306597263,2.4346295090715855,1.3078779745183424,0.8950227084304203,-0.23592820215621052,0.07078996400851743
15,11.293932284731415,1.3612592134745798,0.9916255536035175,1.8039641929185026,-0.05113407659344399,0.1356892870292068
16,12.083269211482257,2.425012112125755,0.8715780722186898,0.5166431280067196,-0.205950734348735,0.14587822940181952
17,16.8394137150608,1.2234246084701725,0.82767586208228,1.5582119746231478,-0.36242325769970196,0.050539555724896476
18,15.666387542169545,2.033748595548094,1.2093128019925201,0.8301431334940723,-0.344165862867376,0.1120333887474611
19,15.597856908570975,1.5215341273779055,1.071889821008779,1.3734698396837348,-0.182766779201338,0.06063701395168912
20,12.755328095667064,2.2295754857403236,0.9723472244027076,0.6206052589574834,-0.03765615559997948,0.21394741752073168
21,12.98428448697552,2.679923216222785,1.1458377617436923,1.6593766346992915,-0.1115535902627745,0.17024983405712993
22,12.670017555896191,0.8584474049254793,0.6231247796867969,0.6785232316837653,-0.14014617675798952,0.2230306803751737
23,16.067315756846217,0.658624311397551,1.2184131293864922,0.5659625535695822,-0.4365046602184885,0.1652815041134133
24,11.92619474211708,0.393016889123479,1.3785431910776533,0.9641807090723882,-0.3752812938264105,0.10206529791727671
25,13.743180787693712,1.4601478937601207,1.065808856945485,1.0257669008630337,-0.22200764145934948,0.23133575980383905
26,13.42318324400112,0.8094237890238885,0.5496961347502655,1.9441370313195518,-0.36570816738531,0.14806993765849624
27,15.172777089364825,1.3849416160688282,0.6961393073026554,0.5804141939226541,-0.2665414140338545,0.19204579986538745
28,10.722956599202007,1.2019068201030618,1.2629725252026693,0.6321415816852813,-0.4348232034174725,0.18032871411852544
29,12.167020202931017,2.392329740406248,1.2377078976477498,1.1767989410879096,-0.3933733077766375,0.1728062347611412
30,17.033022759035234,2.9752463048736106,0.9126254882528451,0.8205605881558724,-0.02568912987248051,0.0993792203785852
31,14.300080202855167,1.8680718195433743,0.5883681248042265,1.6211412245836117,-0.213332191138761,0.07457935827896008
32,14.583662740085272,2.354267055075384,1.2516591629865583,0.30453590169781813,-0.12146441355231202,0.07892883921954784
33,13.865998601969327,1.571028622715966,0.6739996559352152,0.9413912634402513,-0.0056497166398915,0.07596401275470856
34,10.994245602190496,2.119558345554863,0.7646599595849397,1.8384715718613003,-0.0589238157938235,0.2069488141378389
35,10.882350482996552,2.006310227986424,0.855421545815654,1.0889910848797293,-0.07667964715161352,0.04703516969028856
36,12.611557382978496,1.7839565584785317,0.42940592347853823,0.9874401562456039,-0.204076936189085,0.1439932657323777
37,14.99138595018536,0.3461585286206101,1.130807092141127,0.7778998875776313,-0.19498944122227851,0.18183540199771528
38,17.738657507840543,0.9189405753551985,0.9530587981955619,0.6996335211861878,-0.22665705393184898,0.06993364833928647
39,10.008992849234492,2.2994229460260818,1.3231812810509003,0.9241590969800013,-0.21738477246370153,0.025331973996199672
40,17.258921509776265,1.622137542484793,1.4045387379992755,1.7927525855386621,-0.16295075366739198,0.18440429407097392
41,13.042751931175593,1.0641079609883022,1.116615433095023,1.1961639613863075,-0.47664147417643105,0.20549009809605784
42,15.21128762237728,0.5990990021370812,1.1574594348042733,1.9486166672301481,-0.4672204504709225,0.15119943288248033
43,16.224164655897766,1.654068349871552,1.3499707217123365,0.2396950643346646,-0.3349601561191955,0.15871966358255585
44,14.502836351953448,0.9594185246613354,0.4947277253055945,1.2830328369284978,-0.427092455578968,0.21710519970152534
45,14.126197811365127,2.144396526367636,1.336965063025244,1.7740556863020183,-0.3157065933430565,0.11848017534147952
46,14.443699464239184,1.013357025196078,0.940549020620762,1.5040729875685646,-0.07004230477847151,0.19593276805840434
47,11.62447770114988,2.581993562940975,0.8767628505094907,1.5930208833375943,-0.244431231651688,0.08899256778899584
48,11.716303242500873,2.20021367390547,0.534765913161682,0.44689633610891244,-0.358720749822678,0.168325434410572
49,15.969606637787072,1.993329092992936,0.6404312937317885,1.1465778663619417,-0.40911347213550453,0.04282607108019304
