  1.00000000000000002E-003
  2.00000000000000004E-003         501
   0.1801009203   0.0000000000   0.0000000000
   0.1800555250   0.0000000000   0.0000000000
   0.1800100496   0.0000000000   0.0000000000
   0.1799644938   0.0000000000   0.0000000000
   0.1799188573   0.0000000000   0.0000000000
   0.1798731397   0.0000000000   0.0000000000
   0.1798273407   0.0000000000   0.0000000000
   0.1797814600   0.0000000000   0.0000000000
   0.1797354974   0.0000000000   0.0000000000
   0.1796894524   0.0000000000   0.0000000000
   0.1796433248   0.0000000000   0.0000000000
   0.1795971142   0.0000000000   0.0000000000
   0.1795508204   0.0000000000   0.0000000000
   0.1795044429   0.0000000000   0.0000000000
   0.1794579815   0.0000000000   0.0000000000
   0.1794114359   0.0000000000   0.0000000000
   0.1793648056   0.0000000000   0.0000000000
   0.1793180904   0.0000000000   0.0000000000
   0.1792712899   0.0000000000   0.0000000000
   0.1792244038   0.0000000000   0.0000000000
   0.1791774317   0.0000000000   0.0000000000
   0.1791303734   0.0000000000   0.0000000000
   0.1790832284   0.0000000000   0.0000000000
   0.1790359964   0.0000000000   0.0000000000
   0.1789886771   0.0000000000   0.0000000000
   0.1789412701   0.0000000000   0.0000000000
   0.1788937750   0.0000000000   0.0000000000
   0.1788461916   0.0000000000   0.0000000000
   0.1787985194   0.0000000000   0.0000000000
   0.1787507581   0.0000000000   0.0000000000
   0.1787029073   0.0000000000   0.0000000000
   0.1786549666   0.0000000000   0.0000000000
   0.1786069358   0.0000000000   0.0000000000
   0.1785588143   0.0000000000   0.0000000000
   0.1785106020   0.0000000000   0.0000000000
   0.1784622983   0.0000000000   0.0000000000
   0.1784139029   0.0000000000   0.0000000000
   0.1783654154   0.0000000000   0.0000000000
   0.1783168354   0.0000000000   0.0000000000
   0.1782681626   0.0000000000   0.0000000000
   0.1782193966   0.0000000000   0.0000000000
   0.1781705370   0.0000000000   0.0000000000
   0.1781215833   0.0000000000   0.0000000000
   0.1780725353   0.0000000000   0.0000000000
   0.1780233925   0.0000000000   0.0000000000
   0.1779741544   0.0000000000   0.0000000000
   0.1779248208   0.0000000000   0.0000000000
   0.1778753912   0.0000000000   0.0000000000
   0.1778258651   0.0000000000   0.0000000000
   0.1777762423   0.0000000000   0.0000000000
   0.1777265222   0.0000000000   0.0000000000
   0.1776767045   0.0000000000   0.0000000000
   0.1776267887   0.0000000000   0.0000000000
   0.1775767744   0.0000000000   0.0000000000
   0.1775266613   0.0000000000   0.0000000000
   0.1774764488   0.0000000000   0.0000000000
   0.1774261366   0.0000000000   0.0000000000
   0.1773757242   0.0000000000   0.0000000000
   0.1773252112   0.0000000000   0.0000000000
   0.1772745971   0.0000000000   0.0000000000
   0.1772238815   0.0000000000   0.0000000000
   0.1771730640   0.0000000000   0.0000000000
   0.1771221441   0.0000000000   0.0000000000
   0.1770711214   0.0000000000   0.0000000000
   0.1770199954   0.0000000000   0.0000000000
   0.1769687657   0.0000000000   0.0000000000
   0.1769174318   0.0000000000   0.0000000000
   0.1768659933   0.0000000000   0.0000000000
   0.1768144496   0.0000000000   0.0000000000
   0.1767628003   0.0000000000   0.0000000000
   0.1767110450   0.0000000000   0.0000000000
   0.1766591832   0.0000000000   0.0000000000
   0.1766072144   0.0000000000   0.0000000000
   0.1765551381   0.0000000000   0.0000000000
   0.1765029538   0.0000000000   0.0000000000
   0.1764506611   0.0000000000   0.0000000000
   0.1763982595   0.0000000000   0.0000000000
   0.1763457484   0.0000000000   0.0000000000
   0.1762931274   0.0000000000   0.0000000000
   0.1762403960   0.0000000000   0.0000000000
   0.1761875536   0.0000000000   0.0000000000
   0.1761345999   0.0000000000   0.0000000000
   0.1760815341   0.0000000000   0.0000000000
   0.1760283559   0.0000000000   0.0000000000
   0.1759750648   0.0000000000   0.0000000000
   0.1759216601   0.0000000000   0.0000000000
   0.1758681414   0.0000000000   0.0000000000
   0.1758145082   0.0000000000   0.0000000000
   0.1757607598   0.0000000000   0.0000000000
   0.1757068959   0.0000000000   0.0000000000
   0.1756529158   0.0000000000   0.0000000000
   0.1755988190   0.0000000000   0.0000000000
   0.1755446049   0.0000000000   0.0000000000
   0.1754902730   0.0000000000   0.0000000000
   0.1754358228   0.0000000000   0.0000000000
   0.1753812537   0.0000000000   0.0000000000
   0.1753265650   0.0000000000   0.0000000000
   0.1752717564   0.0000000000   0.0000000000
   0.1752168271   0.0000000000   0.0000000000
   0.1751617766   0.0000000000   0.0000000000
   0.1751066043   0.0000000000   0.0000000000
   0.1750513097   0.0000000000   0.0000000000
   0.1749958921   0.0000000000   0.0000000000
   0.1749403510   0.0000000000   0.0000000000
   0.1748846857   0.0000000000   0.0000000000
   0.1748288957   0.0000000000   0.0000000000
   0.1747729803   0.0000000000   0.0000000000
   0.1747169390   0.0000000000   0.0000000000
   0.1746607711   0.0000000000   0.0000000000
   0.1746044760   0.0000000000   0.0000000000
   0.1745480530   0.0000000000   0.0000000000
   0.1744915017   0.0000000000   0.0000000000
   0.1744348212   0.0000000000   0.0000000000
   0.1743780110   0.0000000000   0.0000000000
   0.1743210704   0.0000000000   0.0000000000
   0.1742639989   0.0000000000   0.0000000000
