   7811.0010000000002     
   62.500000000000000              502
 39123.5010000000 12988.6853045715 24684.1960752488  0.0000000000  1.0000000000
 39061.0010000000 12967.8937931606 24654.5855317977  0.0000000000  1.0000000000
 38998.5010000000 12947.1023197808 24624.9631596747  0.0000000000  1.0000000000
 38936.0010000000 12926.3108663470 24595.3289092912  0.0000000000  1.0000000000
 38873.5010000000 12905.5194590968 24565.6827941426  0.0000000000  1.0000000000
 38811.0010000000 12884.7280805776 24536.0247653631  0.0000000000  1.0000000000
 38748.5010000000 12863.9367429466 24506.3548162222  0.0000000000  1.0000000000
 38686.0010000000 12843.1454294367 24476.6728986290  0.0000000000  1.0000000000
 38623.5010000000 12822.3541528196 24446.9790065614  0.0000000000  1.0000000000
 38561.0010000000 12801.5629115678 24417.2731135038  0.0000000000  1.0000000000
 38498.5010000000 12780.7717044787 24387.5551933125  0.0000000000  1.0000000000
 38436.0010000000 12759.9805306747 24357.8252202168  0.0000000000  1.0000000000
 38373.5010000000 12739.1893896033 24328.0831688190  0.0000000000  1.0000000000
 38311.0010000000 12718.3982955202 24298.3290348257  0.0000000000  1.0000000000
 38248.5010000000 12697.6072050743 24268.5627313948  0.0000000000  1.0000000000
 38186.0010000000 12676.8161765847 24238.7843171402  0.0000000000  1.0000000000
 38123.5010000000 12656.0251674037 24208.9937060199  0.0000000000  1.0000000000
 38061.0010000000 12635.2342074814 24179.1909158861  0.0000000000  1.0000000000
 37998.5010000000 12614.4432837684 24149.3759028930  0.0000000000  1.0000000000
 37936.0010000000 12593.6523836116 24119.5486236391  0.0000000000  1.0000000000
 37873.5010000000 12572.8615234710 24089.7090763920  0.0000000000  1.0000000000
 37811.0010000000 12552.0706913792 24059.8572185386  0.0000000000  1.0000000000
 37748.5010000000 12531.2799044107 24029.9930490678  0.0000000000  1.0000000000
 37686.0010000000 12510.4891512839 24000.1165261566  0.0000000000  1.0000000000
 37623.5010000000 12489.6984211132 23970.2276084295  0.0000000000  1.0000000000
 37561.0010000000 12468.9077319484 23940.3262960118  0.0000000000  1.0000000000
 37498.5010000000 12448.1170735897 23910.4125483211  0.0000000000  1.0000000000
 37436.0010000000 12427.3264647014 23880.4863662090  0.0000000000  1.0000000000
 37373.5010000000 12406.5358957693 23850.5477098881  0.0000000000  1.0000000000
 37311.0010000000 12385.7453434775 23820.5965195629  0.0000000000  1.0000000000
 37248.5010000000 12364.9548275187 23790.6327972800  0.0000000000  1.0000000000
 37186.0010000000 12344.1643536771 23760.6565249761  0.0000000000  1.0000000000
 37123.5010000000 12323.3739422060 23730.6677053775  0.0000000000  1.0000000000
 37061.0010000000 12302.5835288520 23700.6662191864  0.0000000000  1.0000000000
 36998.5010000000 12281.7931629151 23670.6521108132  0.0000000000  1.0000000000
 36936.0010000000 12261.0028374415 23640.6253434249  0.0000000000  1.0000000000
 36873.5010000000 12240.2125458742 23610.5858806422  0.0000000000  1.0000000000
 36811.0010000000 12219.4222961076 23580.5337068608  0.0000000000  1.0000000000
 36748.5010000000 12198.6320823240 23550.4687865590  0.0000000000  1.0000000000
 36686.0010000000 12177.8418850826 23520.3910643838  0.0000000000  1.0000000000
 36623.5010000000 12157.0517554180 23490.3005868530  0.0000000000  1.0000000000
 36561.0010000000 12136.2616465903 23460.1972589017  0.0000000000  1.0000000000
 36498.5010000000 12115.4715822987 23430.0810873024  0.0000000000  1.0000000000
 36436.0010000000 12094.6815446531 23399.9520184953  0.0000000000  1.0000000000
 36373.5010000000 12073.8915440908 23369.8100398478  0.0000000000  1.0000000000
 36311.0010000000 12053.1015774622 23339.6551189347  0.0000000000  1.0000000000
 36248.5010000000 12032.3116559079 23309.4872439552  0.0000000000  1.0000000000
 36186.0010000000 12011.5217770177 23279.3063833517  0.0000000000  1.0000000000
 36123.5010000000 11990.7319387778 23249.1125060271  0.0000000000  1.0000000000
 36061.0010000000 11969.9421257316 23218.9055612329  0.0000000000  1.0000000000
 35998.5010000000 11949.1523643557 23188.6855590386  0.0000000000  1.0000000000
 35936.0010000000 11928.3626123616 23158.4524094469  0.0000000000  1.0000000000
 35873.5010000000 11907.5729245723 23128.2061635566  0.0000000000  1.0000000000
 35811.0010000000 11886.7832733139 23097.9467523928  0.0000000000  1.0000000000
 35748.5010000000 11865.9936589524 23067.6741476358  0.0000000000  1.0000000000
 35686.0010000000 11845.2040685191 23037.3883014231  0.0000000000  1.0000000000
 35623.5010000000 11824.4145306539 23007.0892263993  0.0000000000  1.0000000000
 35561.0010000000 11803.6250194681 22976.7768556432  0.0000000000  1.0000000000
 35498.5010000000 11782.8355643224 22946.4512026627  0.0000000000  1.0000000000
 35436.0010000000 11762.0461265346 22916.1121816035  0.0000000000  1.0000000000
 35373.5010000000 11741.2567362406 22885.7598068915  0.0000000000  1.0000000000
 35311.0010000000 11720.4673965825 22855.3940534756  0.0000000000  1.0000000000
 35248.5010000000 11699.6780838897 22825.0148570043  0.0000000000  1.0000000000
 35186.0010000000 11678.8888022059 22794.6221934716  0.0000000000  1.0000000000
 35123.5010000000 11658.0995831088 22764.2160790417  0.0000000000  1.0000000000
 35061.0010000000 11637.3103771250 22733.7964112172  0.0000000000  1.0000000000
 34998.5010000000 11616.5212301936 22703.3632269555  0.0000000000  1.0000000000
 34936.0010000000 11595.7321208622 22672.9164644914  0.0000000000  1.0000000000
 34873.5010000000 11574.9430417156 22642.4560824537  0.0000000000  1.0000000000
 34811.0010000000 11554.1539992860 22611.9820597772  0.0000000000  1.0000000000
 34748.5010000000 11533.3650005018 22581.4943758714  0.0000000000  1.0000000000
 34686.0010000000 11512.5760526879 22550.9930106215  0.0000000000  1.0000000000
 34623.5010000000 11491.7871367191 22520.4779049725  0.0000000000  1.0000000000
 34561.0010000000 11470.9982608223 22489.9490398689  0.0000000000  1.0000000000
 34498.5010000000 11450.2094336208 22459.4063967325  0.0000000000  1.0000000000
 34436.0010000000 11429.4206373968 22428.8499181543  0.0000000000  1.0000000000
 34373.5010000000 11408.6318816757 22398.2795866198  0.0000000000  1.0000000000
 34311.0010000000 11387.8431763789 22367.6953850940  0.0000000000  1.0000000000
 34248.5010000000 11367.0544918826 22337.0972382199  0.0000000000  1.0000000000
 34186.0010000000 11346.2658656564 22306.4851692501  0.0000000000  1.0000000000
 34123.5010000000 11325.4772690330 22275.8591039507  0.0000000000  1.0000000000
 34061.0010000000 11304.6887137378 22245.2190274263  0.0000000000  1.0000000000
 33998.5010000000 11283.9002118928 22214.5649252644  0.0000000000  1.0000000000
 33936.0010000000 11263.1117495704 22183.8967445139  0.0000000000  1.0000000000
 33873.5010000000 11242.3233133855 22153.2144328515  0.0000000000  1.0000000000
 33811.0010000000 11221.5349300537 22122.5179970088  0.0000000000  1.0000000000
 33748.5010000000 11200.7465871102 22091.8073857593  0.0000000000  1.0000000000
 33686.0010000000 11179.9582857818 22061.0825679465  0.0000000000  1.0000000000
 33623.5010000000 11159.1700146338 22030.3434935522  0.0000000000  1.0000000000
 33561.0010000000 11138.3818152249 21999.5901908028  0.0000000000  1.0000000000
 33498.5010000000 11117.5936246076 21968.8225331888  0.0000000000  1.0000000000
 33436.0010000000 11096.8054852792 21938.0405500594  0.0000000000  1.0000000000
 33373.5010000000 11076.0174008126 21907.2442130630  0.0000000000  1.0000000000
 33311.0010000000 11055.2293622108 21876.4334750806  0.0000000000  1.0000000000
 33248.5010000000 11034.4413479982 21845.6082703173  0.0000000000  1.0000000000
 33186.0010000000 11013.6533763233 21814.7685915716  0.0000000000  1.0000000000
 33123.5010000000 10992.8654657304 21783.9144321354  0.0000000000  1.0000000000
 33061.0010000000 10972.0775832956 21753.0457087625  0.0000000000  1.0000000000
 32998.5010000000 10951.2897485751 21722.1624159515  0.0000000000  1.0000000000
 32936.0010000000 10930.5019556622 21691.2645102537  0.0000000000  1.0000000000
 32873.5010000000 10909.7141991932 21660.3519488624  0.0000000000  1.0000000000
 32811.0010000000 10888.9265001312 21629.4247279843  0.0000000000  1.0000000000
 32748.5010000000 10868.1388283400 21598.4827676565  0.0000000000  1.0000000000
 32686.0010000000 10847.3512057947 21567.5260653014  0.0000000000  1.0000000000
 32623.5010000000 10826.5636291919 21536.5545805806  0.0000000000  1.0000000000
 32561.0010000000 10805.7761085894 21505.5682929142  0.0000000000  1.0000000000
 32498.5010000000 10784.9886161143 21474.5671250161  0.0000000000  1.0000000000
 32436.0010000000 10764.2011757098 21443.5510766961  0.0000000000  1.0000000000
 32373.5010000000 10743.4137861883 21412.5201101535  0.0000000000  1.0000000000
 32311.0010000000 10722.6264214164 21381.4741501613  0.0000000000  1.0000000000
 32248.5010000000 10701.8391068548 21350.4131983707  0.0000000000  1.0000000000
 32186.0010000000 10681.0518556516 21319.3372379370  0.0000000000  1.0000000000
 32123.5010000000 10660.2646179797 21288.2461576797  0.0000000000  1.0000000000
 32061.0010000000 10639.4774462133 21257.1399990845  0.0000000000  1.0000000000
 31998.5010000000 10618.6903170627 21226.0186903208  0.0000000000  1.0000000000
 31936.0010000000 10597.9032331954 21194.8821982171  0.0000000000  1.0000000000
 31873.5010000000 10577.1161978218 21163.7304902595  0.0000000000  1.0000000000
 31811.0010000000 10556.3291895032 21132.5634968114  0.0000000000  1.0000000000
 31748.5010000000 10535.5422378017 21101.3812245315  0.0000000000  1.0000000000
 31686.0010000000 10514.7553475562 21070.1836428840  0.0000000000  1.0000000000
 31623.5010000000 10493.9684865272 21038.9706654901  0.0000000000  1.0000000000
 31561.0010000000 10473.1816733279 21007.7422821209  0.0000000000  1.0000000000
 31498.5010000000 10452.3949020337 20976.4984455417  0.0000000000  1.0000000000
 31436.0010000000 10431.6081923058 20945.2391468145  0.0000000000  1.0000000000
 31373.5010000000 10410.8215144110 20913.9643025514  0.0000000000  1.0000000000
 31311.0010000000 10390.0348767231 20882.6738864795  0.0000000000  1.0000000000
 31248.5010000000 10369.2483005872 20851.3678917162  0.0000000000  1.0000000000
 31186.0010000000 10348.4617705873 20820.0462558608  0.0000000000  1.0000000000
 31123.5010000000 10327.6752843900 20788.7089360171  0.0000000000  1.0000000000
 31061.0010000000 10306.8888526518 20757.3559087012  0.0000000000  1.0000000000
 30998.5010000000 10286.1024495103 20725.9870951580  0.0000000000  1.0000000000
 30936.0010000000 10265.3161115451 20694.6025106748  0.0000000000  1.0000000000
 30873.5010000000 10244.5298018309 20663.2020594026  0.0000000000  1.0000000000
 30811.0010000000 10223.7435580694 20631.7857580152  0.0000000000  1.0000000000
 30748.5010000000 10202.9573569609 20600.3535308506  0.0000000000  1.0000000000
 30686.0010000000 10182.1712127528 20568.9053588104  0.0000000000  1.0000000000
 30623.5010000000 10161.3851035111 20537.4411678709  0.0000000000  1.0000000000
 30561.0010000000 10140.5990447362 20505.9609404614  0.0000000000  1.0000000000
 30498.5010000000 10119.8130280637 20474.4646226986  0.0000000000  1.0000000000
 30436.0010000000 10099.0270701910 20442.9521984876  0.0000000000  1.0000000000
 30373.5010000000 10078.2411640254 20411.4236154989  0.0000000000  1.0000000000
 30311.0010000000 10057.4552910189 20379.8788037989  0.0000000000  1.0000000000
 30248.5010000000 10036.6694697770 20348.3177496292  0.0000000000  1.0000000000
 30186.0010000000 10015.8837073372 20316.7404215158  0.0000000000  1.0000000000
 30123.5010000000  9995.0979992631 20285.1467703656  0.0000000000  1.0000000000
 30061.0010000000  9974.3123297388 20253.5367295631  0.0000000000  1.0000000000
 29998.5010000000  9953.5267198755 20221.9102884442  0.0000000000  1.0000000000
 29936.0010000000  9932.7411431888 20190.2673637349  0.0000000000  1.0000000000
 29873.5010000000  9911.9556220996 20158.6079463833  0.0000000000  1.0000000000
 29811.0010000000  9891.1701675733 20126.9320097439  0.0000000000  1.0000000000
 29748.5010000000  9870.3847432816 20095.2394548708  0.0000000000  1.0000000000
 29686.0010000000  9849.5993736094 20063.5302751404  0.0000000000  1.0000000000
 29623.5010000000  9828.8140596028 20031.8044281670  0.0000000000  1.0000000000
 29561.0010000000  9808.0287910795 20000.0618542064  0.0000000000  1.0000000000
 29498.5010000000  9787.2435824291 19968.3025308264  0.0000000000  1.0000000000
 29436.0010000000  9766.4584130089 19936.5263818573  0.0000000000  1.0000000000
 29373.5010000000  9745.6732986123 19904.7333865964  0.0000000000  1.0000000000
 29311.0010000000  9724.8882319590 19872.9234888552  0.0000000000  1.0000000000
 29248.5010000000  9704.1032301891 19841.0966696084  0.0000000000  1.0000000000
 29186.0010000000  9683.3182756377 19809.2528563308  0.0000000000  1.0000000000
 29123.5010000000  9662.5333632721 19777.3919955881  0.0000000000  1.0000000000
 29061.0010000000  9641.7485005971 19745.5140529425  0.0000000000  1.0000000000
 28998.5010000000  9620.9637075600 19713.6190128564  0.0000000000  1.0000000000
 28936.0010000000  9600.1789577995 19681.7067885140  0.0000000000  1.0000000000
 28873.5010000000  9579.3942610111 19649.7773481915  0.0000000000  1.0000000000
 28811.0010000000  9558.6096158894 19617.8306430564  0.0000000000  1.0000000000
 28748.5010000000  9537.8250218971 19585.8666252244  0.0000000000  1.0000000000
 28686.0010000000  9517.0404909206 19553.8852656995  0.0000000000  1.0000000000
 28623.5010000000  9496.2560006299 19521.8864826019  0.0000000000  1.0000000000
 28561.0010000000  9475.4715644670 19489.8702488597  0.0000000000  1.0000000000
 28498.5010000000  9454.6871849676 19457.8365203973  0.0000000000  1.0000000000
 28436.0010000000  9433.9028538572 19425.7852362351  0.0000000000  1.0000000000
 28373.5010000000  9413.1185868251 19393.7163721109  0.0000000000  1.0000000000
 28311.0010000000  9392.3343771712 19361.6298690015  0.0000000000  1.0000000000
 28248.5010000000  9371.5502075192 19329.5256511220  0.0000000000  1.0000000000
 28186.0010000000  9350.7660959200 19297.4036971526  0.0000000000  1.0000000000
 28123.5010000000  9329.9820381506 19265.2639511352  0.0000000000  1.0000000000
 28061.0010000000  9309.1980537600 19233.1063936409  0.0000000000  1.0000000000
 27998.5010000000  9288.4140943208 19200.9308997954  0.0000000000  1.0000000000
 27936.0010000000  9267.6302039609 19168.7374877096  0.0000000000  1.0000000000
 27873.5010000000  9246.8463817211 19136.5261054970  0.0000000000  1.0000000000
 27811.0010000000  9226.0626047125 19104.2966669973  0.0000000000  1.0000000000
 27748.5010000000  9205.2788737805 19072.0491225489  0.0000000000  1.0000000000
 27686.0010000000  9184.4952133123 19039.7834587922  0.0000000000  1.0000000000
 27623.5010000000  9163.7116030688 19007.4995928527  0.0000000000  1.0000000000
 27561.0010000000  9142.9280464296 18975.1974782414  0.0000000000  1.0000000000
 27498.5010000000  9122.1445476190 18942.8770695305  0.0000000000  1.0000000000
 27436.0010000000  9101.3611117061 18910.5383223550  0.0000000000  1.0000000000
 27373.5010000000  9080.5777221000 18878.1811583679  0.0000000000  1.0000000000
 27311.0010000000  9059.7943969078 18845.8055529595  0.0000000000  1.0000000000
 27248.5010000000  9039.0111213629 18813.4114300582  0.0000000000  1.0000000000
 27186.0010000000  9018.2279152809 18780.9987672134  0.0000000000  1.0000000000
 27123.5010000000  8997.4447657195 18748.5674906369  0.0000000000  1.0000000000
 27061.0010000000  8976.6616607355 18716.1175277758  0.0000000000  1.0000000000
 26998.5010000000  8955.8786227942 18683.6488595230  0.0000000000  1.0000000000
 26936.0010000000  8935.0956417767 18651.1614156211  0.0000000000  1.0000000000
 26873.5010000000  8914.3127196610 18618.6551444167  0.0000000000  1.0000000000
 26811.0010000000  8893.5298482687 18586.1299780766  0.0000000000  1.0000000000
 26748.5010000000  8872.7470535974 18553.5859019806  0.0000000000  1.0000000000
 26686.0010000000  8851.9643072140 18521.0228160035  0.0000000000  1.0000000000
 26623.5010000000  8831.1816149001 18488.4406732775  0.0000000000  1.0000000000
 26561.0010000000  8810.3989943596 18455.8394453679  0.0000000000  1.0000000000
 26498.5010000000  8789.6164202158 18423.2190359674  0.0000000000  1.0000000000
 26436.0010000000  8768.8339120939 18390.5794190715  0.0000000000  1.0000000000
 26373.5010000000  8748.0514685782 18357.9205353714  0.0000000000  1.0000000000
 26311.0010000000  8727.2690892525 18325.2423268193  0.0000000000  1.0000000000
 26248.5010000000  8706.4867528938 18292.5447023124  0.0000000000  1.0000000000
 26186.0010000000  8685.7044938528 18259.8276578727  0.0000000000  1.0000000000
 26123.5010000000  8664.9222929248 18227.0911049518  0.0000000000  1.0000000000
 26061.0010000000  8644.1401429050 18194.3349735342  0.0000000000  1.0000000000
 25998.5010000000  8623.3580701418 18161.5592461918  0.0000000000  1.0000000000
 25936.0010000000  8602.5760369929 18128.7638042656  0.0000000000  1.0000000000
 25873.5010000000  8581.7940826306 18095.9486499584  0.0000000000  1.0000000000
 25811.0010000000  8561.0121931592 18063.1137014266  0.0000000000  1.0000000000
 25748.5010000000  8540.2303450920 18030.2588612787  0.0000000000  1.0000000000
 25686.0010000000  8519.4485805405 17997.3841355035  0.0000000000  1.0000000000
 25623.5010000000  8498.6668674262 17964.4894124512  0.0000000000  1.0000000000
 25561.0010000000  8477.8852284237 17931.5746667593  0.0000000000  1.0000000000
 25498.5010000000  8457.1036444548 17898.6398066241  0.0000000000  1.0000000000
 25436.0010000000  8436.3221296219 17865.6847924610  0.0000000000  1.0000000000
 25373.5010000000  8415.5406671390 17832.7095353692  0.0000000000  1.0000000000
 25311.0010000000  8394.7592732834 17799.7139985480  0.0000000000  1.0000000000
 25248.5010000000  8373.9779441515 17766.6981128398  0.0000000000  1.0000000000
 25186.0010000000  8353.1966875659 17733.6618273672  0.0000000000  1.0000000000
 25123.5010000000  8332.4154913258 17700.6050590678  0.0000000000  1.0000000000
 25061.0010000000  8311.6343549962 17667.5277432065  0.0000000000  1.0000000000
 24998.5010000000  8290.8532898088 17634.4298332740  0.0000000000  1.0000000000
 24936.0010000000  8270.0722870905 17601.3112507097  0.0000000000  1.0000000000
 24873.5010000000  8249.2913498747 17568.1719352263  0.0000000000  1.0000000000
 24811.0010000000  8228.5104823506 17535.0118280248  0.0000000000  1.0000000000
 24748.5010000000  8207.7296690000 17501.8308384732  0.0000000000  1.0000000000
 24686.0010000000  8186.9489372673 17468.6289441658  0.0000000000  1.0000000000
 24623.5010000000  8166.1682532407 17435.4060243059  0.0000000000  1.0000000000
 24561.0010000000  8145.3876570888 17402.1620761257  0.0000000000  1.0000000000
 24498.5010000000  8124.6071174295 17368.8969820631  0.0000000000  1.0000000000
 24436.0010000000  8103.8266456853 17335.6106926262  0.0000000000  1.0000000000
 24373.5010000000  8083.0462441213 17302.3031432965  0.0000000000  1.0000000000
 24311.0010000000  8062.2659059450 17268.9742546380  0.0000000000  1.0000000000
 24248.5010000000  8041.4856359513 17235.6239653922  0.0000000000  1.0000000000
 24186.0010000000  8020.7054401706 17202.2522159035  0.0000000000  1.0000000000
 24123.5010000000  7999.9253156347 17168.8589316722  0.0000000000  1.0000000000
 24061.0010000000  7979.1452504765 17135.4440234640  0.0000000000  1.0000000000
 23998.5010000000  7958.3652648041 17102.0074530506  0.0000000000  1.0000000000
 23936.0010000000  7937.5853290125 17068.5491018031  0.0000000000  1.0000000000
 23873.5010000000  7916.8054861267 17035.0689676075  0.0000000000  1.0000000000
 23811.0010000000  7896.0256990968 17001.5669189682  0.0000000000  1.0000000000
 23748.5010000000  7875.2459931899 16968.0429243754  0.0000000000  1.0000000000
 23686.0010000000  7854.4663544524 16934.4968886611  0.0000000000  1.0000000000
 23623.5010000000  7833.6867704056 16900.9287185473  0.0000000000  1.0000000000
 23561.0010000000  7812.9072702599 16867.3383876799  0.0000000000  1.0000000000
 23498.5010000000  7792.1278442455 16833.7258063148  0.0000000000  1.0000000000
 23436.0010000000  7771.3484940806 16800.0909028234  0.0000000000  1.0000000000
 23373.5010000000  7750.5692128844 16766.4335912037  0.0000000000  1.0000000000
 23311.0010000000  7729.7899952508 16732.7537873629  0.0000000000  1.0000000000
 23248.5010000000  7709.0108571553 16699.0514414198  0.0000000000  1.0000000000
 23186.0010000000  7688.2317860876 16665.3264568546  0.0000000000  1.0000000000
 23123.5010000000  7667.4528008319 16631.5787874723  0.0000000000  1.0000000000
 23061.0010000000  7646.6738819142 16597.8083244930  0.0000000000  1.0000000000
 22998.5010000000  7625.8950312421 16564.0149933643  0.0000000000  1.0000000000
 22936.0010000000  7605.1162620504 16530.1987375072  0.0000000000  1.0000000000
 22873.5010000000  7584.3375594707 16496.3594541367  0.0000000000  1.0000000000
 22811.0010000000  7563.5589397074 16462.4970905737  0.0000000000  1.0000000000
 22748.5010000000  7542.7803909825 16428.6115480727  0.0000000000  1.0000000000
 22686.0010000000  7522.0019226979 16394.7027619182  0.0000000000  1.0000000000
 22623.5010000000  7501.2235262267 16360.7706374865  0.0000000000  1.0000000000
 22561.0010000000  7480.4452043095 16326.8150981965  0.0000000000  1.0000000000
 22498.5010000000  7459.6669515311 16292.8360536301  0.0000000000  1.0000000000
 22436.0010000000  7438.8887931858 16258.8334631053  0.0000000000  1.0000000000
 22373.5010000000  7418.1106979365 16224.8071927678  0.0000000000  1.0000000000
 22311.0010000000  7397.3326845778 16190.7571902812  0.0000000000  1.0000000000
 22248.5010000000  7376.5547444881 16156.6833578941  0.0000000000  1.0000000000
 22186.0010000000  7355.7768899829 16122.5856316562  0.0000000000  1.0000000000
 22123.5010000000  7334.9991061644 16088.4639024328  0.0000000000  1.0000000000
 22061.0010000000  7314.2214086409 16054.3181106314  0.0000000000  1.0000000000
 21998.5010000000  7293.4437859294 16020.1481516180  0.0000000000  1.0000000000
 21936.0010000000  7272.6662378742 15985.9539388032  0.0000000000  1.0000000000
 21873.5010000000  7251.8887755453 15951.7354035359  0.0000000000  1.0000000000
 21811.0010000000  7231.1113926737 15917.4924480702  0.0000000000  1.0000000000
 21748.5010000000  7210.3340847895 15883.2249770333  0.0000000000  1.0000000000
 21686.0010000000  7189.5568586686 15848.9329130282  0.0000000000  1.0000000000
 21623.5010000000  7168.7797133784 15814.6161653767  0.0000000000  1.0000000000
 21561.0010000000  7148.0026591912 15780.2746613420  0.0000000000  1.0000000000
 21498.5010000000  7127.2256799408 15745.9082839024  0.0000000000  1.0000000000
 21436.0010000000  7106.4487801533 15711.5169496300  0.0000000000  1.0000000000
 21373.5010000000  7085.6719661546 15677.1005775018  0.0000000000  1.0000000000
 21311.0010000000  7064.8952367454 15642.6590734434  0.0000000000  1.0000000000
 21248.5010000000  7044.1185833047 15608.1923304478  0.0000000000  1.0000000000
 21186.0010000000  7023.3420177400 15573.7002749431  0.0000000000  1.0000000000
 21123.5010000000  7002.5655352334 15539.1828049972  0.0000000000  1.0000000000
 21061.0010000000  6981.7891329308 15504.6398212922  0.0000000000  1.0000000000
 20998.5010000000  6961.0128283828 15470.0712578262  0.0000000000  1.0000000000
 20936.0010000000  6940.2365949375 15435.4769744160  0.0000000000  1.0000000000
 20873.5010000000  6919.4604540518 15400.8569102949  0.0000000000  1.0000000000
 20811.0010000000  6898.6843923450 15366.2109460350  0.0000000000  1.0000000000
 20748.5010000000  6877.9084168417 15331.5389955483  0.0000000000  1.0000000000
 20686.0010000000  6857.1325274118 15296.8409601640  0.0000000000  1.0000000000
 20623.5010000000  6836.3567350684 15262.1167591699  0.0000000000  1.0000000000
 20561.0010000000  6815.5810255587 15227.3662689552  0.0000000000  1.0000000000
 20498.5010000000  6794.8053958970 15192.5893840188  0.0000000000  1.0000000000
 20436.0010000000  6774.0298632958 15157.7860320017  0.0000000000  1.0000000000
 20373.5010000000  6753.2544198885 15122.9560978733  0.0000000000  1.0000000000
 20311.0010000000  6732.4790600200 15088.0994695692  0.0000000000  1.0000000000
 20248.5010000000  6711.7037892195 15053.2160530694  0.0000000000  1.0000000000
 20186.0010000000  6690.9286151448 15018.3057572411  0.0000000000  1.0000000000
 20123.5010000000  6670.1535207896 14983.3684487711  0.0000000000  1.0000000000
 20061.0010000000  6649.3785182561 14948.4040425310  0.0000000000  1.0000000000
 19998.5010000000  6628.6036217747 14913.4124563006  0.0000000000  1.0000000000
 19936.0010000000  6607.8287944947 14878.3935210470  0.0000000000  1.0000000000
 19873.5010000000  6587.0540729730 14843.3471906701  0.0000000000  1.0000000000
 19811.0010000000  6566.2794427690 14808.2733323661  0.0000000000  1.0000000000
 19748.5010000000  6545.5049007096 14773.1718315274  0.0000000000  1.0000000000
 19686.0010000000  6524.7304547850 14738.0425916329  0.0000000000  1.0000000000
 19623.5010000000  6503.9561065168 14702.8855044645  0.0000000000  1.0000000000
 19561.0010000000  6483.1818423196 14667.7004354191  0.0000000000  1.0000000000
 19498.5010000000  6462.4076773197 14632.4872977012  0.0000000000  1.0000000000
 19436.0010000000  6441.6336028357 14597.2459633808  0.0000000000  1.0000000000
 19373.5010000000  6420.8596387719 14561.9763522097  0.0000000000  1.0000000000
 19311.0010000000  6400.0857553748 14526.6782988086  0.0000000000  1.0000000000
 19248.5010000000  6379.3119775156 14491.3517297228  0.0000000000  1.0000000000
 19186.0010000000  6358.5382892765 14455.9965013401  0.0000000000  1.0000000000
 19123.5010000000  6337.7647032414 14420.6125176686  0.0000000000  1.0000000000
 19061.0010000000  6316.9912087332 14385.1996422512  0.0000000000  1.0000000000
 18998.5010000000  6296.2178148963 14349.7577715269  0.0000000000  1.0000000000
 18936.0010000000  6275.4445248896 14314.2867908762  0.0000000000  1.0000000000
 18873.5010000000  6254.6713274809 14278.7865601994  0.0000000000  1.0000000000
 18811.0010000000  6233.8982312172 14243.2569722728  0.0000000000  1.0000000000
 18748.5010000000  6213.1252388078 14207.6979090099  0.0000000000  1.0000000000
 18686.0010000000  6192.3523472299 14172.1092415913  0.0000000000  1.0000000000
 18623.5010000000  6171.5795562607 14136.4908450500  0.0000000000  1.0000000000
 18561.0010000000  6150.8068600728 14100.8425838506  0.0000000000  1.0000000000
 18498.5010000000  6130.0342724906 14065.1643552374  0.0000000000  1.0000000000
 18436.0010000000  6109.2617849670 14029.4560170962  0.0000000000  1.0000000000
 18373.5010000000  6088.4894002656 13993.7174457561  0.0000000000  1.0000000000
 18311.0010000000  6067.7171240352 13957.9485215455  0.0000000000  1.0000000000
 18248.5010000000  6046.9449482127 13922.1491001876  0.0000000000  1.0000000000
 18186.0010000000  6026.1728760675 13886.3190559052  0.0000000000  1.0000000000
 18123.5010000000  6005.4009138390 13850.4582670504  0.0000000000  1.0000000000
 18061.0010000000  5984.6290542685 13814.5665876474  0.0000000000  1.0000000000
