64
Generalized Gauss Laguerre roots-weights [a = 1,2]:
Roots[a=1]		Weights[a=1]		Roots[a=2]		Weights[a=2]
0.0564732065642567		0.00506261171354594		0.100682305413897		0.00121325475254743
0.189347721046806		0.0267761040648772		0.270520836483334		0.0115830307874021
0.398278204695493		0.0660530544329832		0.51569963592892		0.0449300036230642
0.683370983558315		0.111526212193466		0.836488008915462		0.108723355347864
1.04479079178247		0.146879955878727		1.23309742130066		0.192554390775891
1.48275006227559		0.160327809938614		1.70576669355907		0.269945158837149
1.99750809831345		0.149936603259352		2.25477551802657		0.313196888807452
2.58937158738083		0.122560538954628		2.88044846967868		0.3091769301254
3.25869552044041		0.0887067960312456		3.58315705712956		0.264494623617809
4.00588435015592		0.0573503326177617		4.36332133108097		0.198598314986153
4.83139335427604		0.0333240371794403		5.22141146098448		0.132082681108754
5.73573020243421		0.0174797054407808		6.15794942036906		0.0783314174790193
6.71945673515056		0.00830330598780725		7.17351084198293		0.0416307828252456
7.7831909688013		0.00358025181976991		8.26872707803859		0.0199027620462326
8.92760934376613		0.00140359699381817		9.44428749245818		0.00858345076161478
10.1534492360888		0.000500885976298273		10.7009420101719		0.00334641930025591
11.4615117562321		0.000162828258696964		12.0395039495236		0.00118125650134425
12.8526648620838		4.82391331253678e-05		13.4608531663356		0.000377947187293001
14.3278468174139		1.30260481559729e-05		14.9659395416811		0.000109686881563897
15.8880700316093		3.20575850306835e-06		16.5557868497556		2.88861374224277e-05
17.5344253218563		7.18826512084354e-07		18.2314970474232		6.90381926262571e-06
19.2680866451374		1.46784456322991e-07		19.9942550331282		1.49727487397793e-06
21.09031635464		2.7277817051115e-08		21.8453339300473		2.94561519553122e-07
23.0024710436437		4.60946923671417e-09		23.7861009568067		5.25379843675339e-08
25.0060080499163		7.0757413585883e-10		25.8180239590467		8.48925787486123e-09
27.1024927054247		9.85533719768943e-11		27.9426786869022		1.24153688239005e-09
29.2936064301463		1.24388175153162e-11		30.1617569174568		1.64156509022329e-10
31.581155785425		1.42054179873741e-12		32.4770755379225		1.95975096072436e-11
33.9670826222871		1.46549091903873e-13		34.8905867252913		2.10932526722343e-12
36.4534754841541		1.36325780752895e-14		37.4043893822821		2.04342941412443e-13
39.0425824524657		1.14122409393017e-15		40.0207420185323		1.77843322251126e-14
41.7368256590829		8.57847696628729e-17		42.7420773014151		1.38763902259188e-15
44.5388177325844		5.77635700421041e-18		45.5710185441942		9.6845877796311e-17
47.4513804987698		3.47507109846504e-19		48.5103984525402		6.03052529286172e-18
50.4775663215338		1.86249509347602e-20		51.5632805164228		3.34112985700812e-19
53.6206825523301		8.86521458843329e-22		54.7329835166212		1.64199732576702e-20
56.8843196593887		3.7347409258184e-23		58.0231097182629		7.13411087480561e-22
60.2723837379783		1.38734171758988e-24		61.4375774542106		2.73023949071211e-23
63.7891342687837		4.52561166226101e-26		64.9806589672541		9.16648011305265e-25
67.4392282044632		1.29058681246093e-27		68.657024593526		2.68792443242171e-26
71.2277717405803		3.20156867045962e-29		72.4717946462972		6.85043816923282e-28
75.1603814885959		6.87119347556887e-31		76.4306007215915		1.50923804767702e-29
79.2432572468009		1.26815152646916e-32		80.5396586263206		2.85714918258405e-31
83.483269204867		1.99924677457418e-34		84.8058557708515		4.61690767984817e-33
87.8880632842552		2.67221088727094e-36		89.2368567364209		6.32098857645367e-35
92.4661895062072		3.0029529071379e-38		93.8412319199621		7.27139225952023e-37
97.2272599358066		2.81066249003276e-40		98.6286158193952		6.96267213431972e-39
102.182145095438		2.16781016532404e-42		103.609903872579		5.49095306851804e-41
107.343221118816		1.36116963025736e-44		108.797500148616		3.52351639625593e-43
112.724684878854		6.86167352349759e-47		114.205633163617		1.81437534698469e-45
118.342961772849		2.73257560569933e-49		119.850764560272		7.37759880699764e-48
124.217242311748		8.43641243834201e-52		125.752126880183		2.32475267398332e-50
130.370201793358		1.974797927945e-54		131.932444832859		5.55221674798189e-53
136.828986943171		3.4127262303722e-57		138.418924137688		9.78674399903822e-56
143.626603526583		4.21542167185552e-60		145.244642251931		1.23270861980389e-58
150.803927462294		3.57561883623607e-63		152.450564030877		1.06602396324181e-61
158.41272635011		1.9798446540277e-66		160.088570135959		6.01707087138138e-65
166.520402477194		6.69998204654765e-70		168.226210922997		2.07559338517285e-68
175.21785647894		1.26813433382947e-73		176.954588288189		4.004692345493e-72
184.633473858428		1.18476945019689e-77		186.40237480281		3.8146451076973e-76
194.960453751652		4.5295893013171e-82		196.76320677131		1.48753138733599e-80
206.517819527783		5.20691414978827e-87		208.356839722359		1.74539091081978e-85
219.917977295538		1.00000113804434e-92		221.797108929038		3.42627051390618e-91
236.74368758605		7.16905978975676e-100		238.670543959774		2.51856644360717e-98
