        1       22  Gamma                      0.000000  0.000000    2    0    0
        2      211  Pion(+)                    0.139570  0.138000    1    0    1
        3      111  Pion(0)                    0.134980  0.138000    1    0    1
        4     -211  Pion(-)                    0.139570  0.138000    1    0    1
        5      321  Kaon(+)                    0.493680  0.495000    1    0    1
        6     -321  Kaon(-)                    0.493680  0.495000    1    0    1
        7      311  Kaon(0)                    0.497650  0.495000    1    0    1
        8     -311  AntiKaon(0)                0.497650  0.495000    1    0    1
        9      221  eta                        0.547750  0.549000    1    0    1
       10      213  rho(+)                     0.775800  0.770000    3    0    1
       11      113  rho(0)                     0.775800  0.770000    3    0    1
       12     -213  rho(-)                     0.775800  0.770000    3    0    1
       13      223  omega                      0.782590  0.783000    3    0    1
       14      323  K*892(+)                   0.891660  0.895000    3    0    1
       15     -323  K*892(-)                   0.891660  0.895000    3    0    1
       16      313  K*892(0)                   0.896100  0.895000    3    0    1
       17     -313  AntiK*892(0)               0.896100  0.895000    3    0    1
       18     2212  p                          0.938270  0.939000    2    1    1
       19    -2212  Anti-p                     0.938270  0.939000    2   -1    1
       20     2112  n                          0.939570  0.939000    2    1    1
       21    -2112  Anti-n                     0.939570  0.939000    2   -1    1
       22      331  etaprime(958)              0.957780  0.958000    1    0    1
       23  9010221  f0(980)                    0.974100  0.000000    1    0    0
       24  9000211  a0(980)(+)                 0.984700  0.000000    1    0    0
       25  9000111  a0(980)(0)                 0.984700  0.000000    1    0    0
       26 -9000211  a0(980)(-)                 0.984700  0.000000    1    0    0
       27      333  phi(1020)                  1.019460  1.020000    3    0    1
       28     3122  Lambda                     1.115680  1.115000    2    1    1
       29    -3122  Anti-Lambda                1.115680  1.115000    2   -1    1
       30    10223  h1(1170)                   1.170000  1.170000    3    0    1
       31     3222  Sigma(+)                   1.189370  1.190000    2    1    1
       32    -3222  Anti-Sigma(+)              1.189370  1.190000    2   -1    1
       33     3212  Sigma(0)                   1.192640  1.190000    2    1    1
       34    -3212  Anti-Sigma(0)              1.192640  1.190000    2   -1    1
